season,holiday,weekday,workingday,weathersit,temp,year,months,hours,humidity,counts
summer,0,Tue,1,Mist + Cloudy,0.5,0,Apri,6,1.0,66
summer,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.34,0,Apri,16,0.87,62
winter,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.32,1,Nov,6,0.81,50
fall,0,Thu,1,Clear + Few clouds,0.86,0,July,15,0.26,140
winter,1,Tue,0,Clear + Few clouds,0.4,1,Nov,3,0.76,4
winter,0,Fri,1,Clear + Few clouds,0.58,0,Oct,14,0.43,195
summer,0,Tue,1,Clear + Few clouds,0.68,0,May,14,0.51,193
summer,0,Fri,1,Clear + Few clouds,0.62,1,Jun,9,0.61,357
springer,0,Fri,1,Clear + Few clouds,0.36,1,Feb,20,0.46,213
summer,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,May,12,0.83,153
winter,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.36,0,Oct,0,0.93,47
springer,0,Fri,1,Mist + Cloudy,0.2,1,Jan,4,0.59,5
summer,0,Mon,0,Clear + Few clouds,0.66,0,May,22,0.89,171
summer,0,Thu,1,Clear + Few clouds,0.4,0,Apri,23,0.71,62
fall,0,Mon,0,Clear + Few clouds,0.78,0,July,1,0.66,96
fall,0,Tue,1,Clear + Few clouds,0.62,1,Aug,6,0.88,145
fall,0,Wed,1,Clear + Few clouds,0.74,0,Aug,15,0.35,196
springer,0,Mon,0,Clear + Few clouds,0.2,1,Dec,4,0.47,4
springer,0,Tue,1,Mist + Cloudy,0.24,1,Jan,18,0.93,282
winter,0,Sat,1,Clear + Few clouds,0.34,1,Nov,9,0.53,351
fall,0,Sat,1,Clear + Few clouds,0.76,1,Aug,19,0.62,492
winter,0,Fri,1,Clear + Few clouds,0.3,0,Dec,13,0.49,124
winter,0,Tue,1,Clear + Few clouds,0.6,1,Sep,15,0.31,300
fall,0,Sat,1,Clear + Few clouds,0.62,0,July,1,0.73,20
summer,0,Mon,0,Clear + Few clouds,0.54,1,Jun,0,0.6,169
springer,0,Tue,1,Clear + Few clouds,0.4,1,Feb,12,0.37,177
springer,0,Sun,0,Clear + Few clouds,0.3,1,Feb,17,0.33,159
fall,0,Sat,1,Clear + Few clouds,0.58,1,Sep,9,0.68,383
winter,0,Thu,1,Clear + Few clouds,0.32,1,Nov,20,0.36,263
springer,0,Mon,0,Clear + Few clouds,0.3,1,Dec,14,0.36,160
fall,0,Thu,1,Clear + Few clouds,0.72,0,Aug,21,0.62,230
fall,0,Mon,0,Mist + Cloudy,0.62,1,Aug,22,0.78,56
springer,0,Sat,1,Mist + Cloudy,0.44,1,Mar,23,0.94,126
springer,0,Mon,0,Clear + Few clouds,0.44,1,Mar,20,0.47,171
summer,0,Thu,1,Mist + Cloudy,0.62,1,May,4,0.88,6
springer,0,Sun,0,Clear + Few clouds,0.38,1,Jan,14,0.5,362
winter,0,Thu,1,Clear + Few clouds,0.5,1,Oct,8,0.77,839
summer,0,Fri,1,Clear + Few clouds,0.58,1,Jun,6,0.6,181
fall,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.72,1,July,18,0.79,312
fall,0,Wed,1,Clear + Few clouds,0.76,0,Aug,18,0.45,570
winter,0,Wed,1,Clear + Few clouds,0.52,1,Oct,17,0.39,943
fall,0,Sun,0,Clear + Few clouds,0.82,0,July,9,0.46,174
springer,0,Sun,0,Clear + Few clouds,0.46,0,Mar,17,0.44,213
fall,1,Tue,0,Mist + Cloudy,0.66,0,Sep,8,0.78,101
springer,0,Thu,1,Mist + Cloudy,0.4,0,Dec,9,0.87,234
springer,0,Fri,1,Clear + Few clouds,0.56,1,Mar,12,0.37,220
winter,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.48,1,Oct,16,0.67,293
winter,0,Sun,0,Clear + Few clouds,0.5,1,Oct,0,0.88,142
summer,0,Wed,1,Clear + Few clouds,0.36,0,Mar,20,0.21,132
winter,0,Sat,1,Mist + Cloudy,0.56,1,Oct,4,0.83,6
winter,0,Fri,1,Clear + Few clouds,0.28,1,Nov,23,0.61,130
fall,0,Wed,1,Clear + Few clouds,0.66,1,Aug,3,0.89,4
fall,0,Sat,1,Clear + Few clouds,0.6,0,Sep,7,0.83,259
winter,1,Tue,0,Clear + Few clouds,0.54,1,Nov,19,0.73,353
fall,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.6,0,Aug,23,0.83,27
fall,0,Sat,1,Clear + Few clouds,0.74,1,July,5,0.66,35
summer,0,Tue,1,Clear + Few clouds,0.46,0,May,3,0.82,7
springer,0,Sat,1,Clear + Few clouds,0.44,1,Feb,20,0.62,167
summer,1,Tue,0,Clear + Few clouds,0.8,1,Apri,18,0.31,676
winter,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.48,0,Oct,19,0.82,237
winter,1,Tue,0,Clear + Few clouds,0.56,1,Nov,17,0.64,596
springer,0,Wed,1,Mist + Cloudy,0.2,0,Jan,12,0.51,57
winter,0,Sat,1,Mist + Cloudy,0.3,1,Nov,7,0.7,357
fall,0,Thu,1,Clear + Few clouds,0.72,0,July,4,0.51,4
summer,0,Wed,1,Mist + Cloudy,0.62,1,May,12,0.65,263
springer,0,Thu,1,Clear + Few clouds,0.3,0,Jan,15,0.28,62
winter,0,Mon,0,Clear + Few clouds,0.46,0,Oct,0,0.44,107
springer,0,Sat,1,Mist + Cloudy,0.26,1,Feb,9,1.0,283
winter,0,Fri,1,Mist + Cloudy,0.54,0,Oct,4,1.0,7
winter,0,Sat,1,Clear + Few clouds,0.56,1,Oct,13,0.37,381
winter,0,Wed,1,Mist + Cloudy,0.44,1,Nov,13,0.58,267
winter,0,Mon,0,Mist + Cloudy,0.42,1,Dec,23,0.82,51
winter,0,Thu,1,Mist + Cloudy,0.28,1,Nov,8,0.81,551
fall,0,Tue,1,Clear + Few clouds,0.72,0,July,4,0.84,6
springer,0,Fri,1,Mist + Cloudy,0.28,1,Jan,2,0.75,7
fall,0,Tue,1,Clear + Few clouds,0.74,0,Aug,14,0.55,151
fall,0,Wed,1,Clear + Few clouds,0.86,0,Aug,16,0.39,285
fall,0,Sun,0,Clear + Few clouds,0.88,1,Jun,10,0.3,404
winter,0,Sun,0,Clear + Few clouds,0.5,1,Oct,20,0.39,259
springer,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.42,1,Feb,2,0.77,5
winter,0,Thu,1,Clear + Few clouds,0.6,1,Oct,16,0.4,566
fall,0,Sat,1,Clear + Few clouds,0.7,0,July,19,0.45,394
springer,0,Sat,1,Mist + Cloudy,0.44,1,Feb,19,0.88,233
springer,0,Mon,0,Clear + Few clouds,0.42,1,Jan,13,0.58,223
winter,0,Tue,1,Clear + Few clouds,0.6,0,Nov,21,0.53,213
winter,0,Wed,1,Mist + Cloudy,0.44,0,Dec,14,0.58,138
summer,0,Sun,0,Mist + Cloudy,0.72,0,Jun,22,0.62,161
winter,0,Wed,1,Clear + Few clouds,0.62,1,Sep,19,0.5,539
summer,0,Thu,1,Clear + Few clouds,0.54,0,Jun,7,0.6,370
springer,0,Sun,0,Clear + Few clouds,0.14,0,Jan,18,0.39,55
fall,0,Sun,0,Clear + Few clouds,0.64,0,July,4,0.83,6
summer,0,Sun,0,Clear + Few clouds,0.58,1,Jun,11,0.46,536
summer,0,Wed,1,Mist + Cloudy,0.56,0,May,2,0.78,5
fall,0,Thu,1,Clear + Few clouds,0.58,1,Aug,4,0.83,8
springer,0,Sat,1,Clear + Few clouds,0.26,1,Jan,13,0.33,154
fall,0,Sun,0,Clear + Few clouds,0.94,0,July,15,0.38,215
summer,0,Wed,1,Clear + Few clouds,0.56,1,Apri,19,0.26,558
fall,0,Sun,0,Clear + Few clouds,0.7,0,Sep,19,0.58,315
summer,0,Mon,0,Clear + Few clouds,0.48,1,Apri,23,0.59,82
fall,0,Fri,1,Clear + Few clouds,0.7,1,Aug,1,0.79,28
summer,0,Thu,1,Mist + Cloudy,0.64,1,May,15,0.53,259
winter,0,Tue,1,Clear + Few clouds,0.42,1,Nov,17,0.32,553
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,Oct,17,0.94,181
fall,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.62,1,Sep,21,0.83,233
winter,0,Wed,1,Clear + Few clouds,0.5,1,Dec,18,0.63,731
summer,0,Sat,1,Clear + Few clouds,0.58,1,Jun,8,0.6,700
summer,0,Tue,1,Clear + Few clouds,0.46,1,Apri,1,0.41,16
springer,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.42,0,Jan,6,0.77,2
winter,0,Fri,1,Clear + Few clouds,0.24,1,Dec,10,0.52,145
fall,0,Thu,1,Clear + Few clouds,0.56,0,Aug,2,0.73,6
summer,0,Mon,0,Mist + Cloudy,0.5,0,May,15,0.72,266
springer,0,Fri,1,Mist + Cloudy,0.28,1,Jan,6,0.81,88
springer,0,Wed,1,Clear + Few clouds,0.28,1,Jan,0,0.52,15
summer,0,Sat,1,Clear + Few clouds,0.6,0,May,16,0.4,344
fall,0,Sun,0,Clear + Few clouds,0.7,1,Sep,2,0.7,69
fall,0,Tue,1,Clear + Few clouds,0.64,0,July,6,0.83,105
winter,0,Wed,1,Mist + Cloudy,0.5,1,Oct,19,0.68,115
winter,0,Sun,0,Mist + Cloudy,0.4,1,Dec,23,0.94,162
fall,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.6,1,July,13,0.83,354
winter,0,Fri,1,Mist + Cloudy,0.54,1,Oct,11,0.83,238
springer,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.32,0,Feb,0,0.93,9
summer,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.6,1,Jun,23,0.78,74
fall,0,Wed,1,Clear + Few clouds,0.78,0,July,23,0.52,79
fall,0,Thu,1,Clear + Few clouds,0.62,0,Aug,8,0.69,468
summer,0,Sat,1,Mist + Cloudy,0.64,1,May,9,0.89,340
fall,0,Thu,1,Mist + Cloudy,0.8,0,Jun,19,0.52,342
fall,0,Sat,1,Clear + Few clouds,0.74,0,Sep,16,0.66,285
winter,0,Wed,1,Clear + Few clouds,0.32,1,Nov,17,0.53,627
fall,0,Fri,1,Clear + Few clouds,0.84,0,July,18,0.44,562
springer,0,Thu,1,Clear + Few clouds,0.24,0,Jan,17,0.38,190
fall,0,Tue,1,Mist + Cloudy,0.64,1,Sep,14,0.65,332
springer,0,Sat,1,Mist + Cloudy,0.32,1,Feb,20,0.57,151
winter,0,Tue,1,Mist + Cloudy,0.54,1,Oct,19,0.68,516
fall,0,Sun,0,Clear + Few clouds,0.76,0,July,23,0.55,177
winter,0,Thu,1,Mist + Cloudy,0.58,1,Oct,15,0.43,301
winter,0,Wed,1,Clear + Few clouds,0.5,0,Oct,22,0.72,114
fall,0,Tue,1,Clear + Few clouds,0.84,1,Aug,16,0.41,451
springer,0,Wed,1,Clear + Few clouds,0.3,1,Jan,5,0.49,22
springer,0,Tue,1,Clear + Few clouds,0.22,1,Jan,4,0.64,4
springer,0,Sat,1,Clear + Few clouds,0.24,1,Feb,7,0.65,226
fall,0,Wed,1,Clear + Few clouds,0.92,1,July,17,0.29,770
fall,0,Sun,0,Clear + Few clouds,1.0,1,July,16,0.19,294
fall,1,Tue,0,"Light Snow, Light Rain + Thunderstorm",0.56,0,Sep,23,0.88,20
winter,0,Sun,0,Clear + Few clouds,0.28,1,Nov,3,0.41,11
fall,0,Fri,1,Clear + Few clouds,0.66,0,July,0,0.89,35
fall,0,Thu,1,Mist + Cloudy,0.56,0,Sep,5,1.0,16
winter,0,Thu,1,Mist + Cloudy,0.7,1,Oct,13,0.74,279
summer,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.56,1,May,5,0.88,15
winter,0,Mon,0,Clear + Few clouds,0.42,1,Oct,8,0.67,143
summer,0,Tue,1,Clear + Few clouds,0.5,1,Mar,10,0.36,153
summer,0,Tue,1,Mist + Cloudy,0.44,1,Apri,12,0.47,225
winter,0,Wed,1,Mist + Cloudy,0.44,1,Oct,7,0.77,531
fall,0,Wed,1,Clear + Few clouds,0.66,0,July,2,0.74,13
summer,0,Sun,0,Mist + Cloudy,0.5,1,Mar,14,0.63,551
springer,0,Mon,0,Clear + Few clouds,0.34,1,Jan,10,0.49,208
springer,0,Sun,0,Mist + Cloudy,0.3,1,Feb,15,0.61,124
springer,1,Tue,0,Mist + Cloudy,0.34,0,Feb,1,0.42,13
winter,0,Tue,1,Clear + Few clouds,0.34,1,Nov,18,0.46,542
springer,0,Wed,1,Clear + Few clouds,0.46,1,Jan,13,0.36,198
winter,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.44,0,Nov,2,1.0,3
summer,0,Mon,0,Mist + Cloudy,0.52,0,May,3,1.0,32
summer,0,Thu,1,Mist + Cloudy,0.34,0,Mar,12,0.87,87
springer,0,Mon,0,Clear + Few clouds,0.24,0,Dec,0,0.6,6
fall,0,Sun,0,Clear + Few clouds,0.64,1,Jun,7,0.89,92
springer,0,Mon,0,Mist + Cloudy,0.2,0,Feb,4,0.69,2
winter,0,Tue,1,Mist + Cloudy,0.46,0,Nov,0,0.94,17
fall,0,Mon,0,Mist + Cloudy,0.7,0,July,1,0.61,78
winter,0,Thu,1,Clear + Few clouds,0.28,1,Nov,4,0.87,10
summer,0,Tue,1,Clear + Few clouds,0.58,0,Jun,3,0.88,5
fall,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,Sep,4,0.94,4
summer,0,Thu,1,Clear + Few clouds,0.4,1,Mar,9,0.43,314
fall,0,Sun,0,Clear + Few clouds,0.74,1,Sep,17,0.51,646
fall,0,Mon,0,Clear + Few clouds,0.64,1,Jun,7,0.69,71
springer,0,Sun,0,Clear + Few clouds,0.54,1,Mar,22,0.68,211
fall,0,Thu,1,Clear + Few clouds,0.6,0,Aug,1,0.6,24
fall,0,Tue,1,Mist + Cloudy,0.74,1,July,9,0.7,293
summer,0,Sat,1,Mist + Cloudy,0.52,0,May,14,0.87,190
summer,0,Wed,1,Clear + Few clouds,0.22,1,Mar,6,0.37,101
winter,0,Wed,1,Clear + Few clouds,0.44,0,Nov,10,0.62,135
winter,0,Sat,1,Mist + Cloudy,0.32,0,Dec,15,0.45,153
fall,0,Tue,1,Clear + Few clouds,0.76,0,July,22,0.66,140
fall,0,Fri,1,Clear + Few clouds,0.6,1,Aug,6,0.83,163
winter,0,Fri,1,Mist + Cloudy,0.32,0,Dec,2,0.7,7
summer,0,Tue,1,Clear + Few clouds,0.66,0,May,15,0.61,155
springer,0,Wed,1,Mist + Cloudy,0.22,0,Feb,23,0.44,20
winter,0,Fri,1,Mist + Cloudy,0.34,1,Dec,16,0.53,302
winter,0,Tue,1,Mist + Cloudy,0.62,0,Sep,8,0.94,355
springer,0,Sun,0,Clear + Few clouds,0.38,0,Jan,10,0.76,36
summer,0,Tue,1,Mist + Cloudy,0.46,0,Apri,5,1.0,17
fall,0,Thu,1,Mist + Cloudy,0.54,0,Sep,0,0.94,13
fall,0,Wed,1,Clear + Few clouds,0.76,1,Sep,12,0.7,287
springer,0,Sat,1,Mist + Cloudy,0.36,0,Mar,17,0.5,228
fall,0,Fri,1,Clear + Few clouds,0.58,1,Sep,19,0.6,603
summer,0,Sat,1,Clear + Few clouds,0.52,0,May,23,0.72,115
fall,1,Tue,0,Mist + Cloudy,0.74,1,Sep,10,0.74,359
fall,0,Thu,1,Clear + Few clouds,0.7,1,Sep,17,0.41,925
fall,0,Mon,0,Clear + Few clouds,0.9,0,July,12,0.45,246
fall,0,Fri,1,Clear + Few clouds,0.56,1,Sep,8,0.73,758
summer,0,Wed,1,Mist + Cloudy,0.7,1,May,15,0.61,256
springer,0,Thu,1,Clear + Few clouds,0.34,0,Feb,17,0.25,222
winter,0,Sat,1,Clear + Few clouds,0.44,0,Nov,13,0.51,194
fall,0,Mon,0,Mist + Cloudy,0.66,1,Sep,0,0.89,99
summer,0,Fri,1,Clear + Few clouds,0.6,0,Apri,15,0.31,142
summer,0,Sun,0,Clear + Few clouds,0.44,0,Apri,22,0.67,143
winter,1,Fri,0,Clear + Few clouds,0.3,1,Nov,9,0.65,119
winter,0,Sat,1,Clear + Few clouds,0.46,1,Nov,13,0.38,299
springer,0,Sun,0,Mist + Cloudy,0.18,1,Jan,22,0.74,59
springer,0,Sat,1,Mist + Cloudy,0.18,0,Jan,23,0.55,27
springer,0,Wed,1,Clear + Few clouds,0.2,0,Mar,7,0.59,107
fall,1,Thu,0,Clear + Few clouds,0.68,1,July,4,0.69,16
fall,0,Sun,0,Clear + Few clouds,0.84,0,July,15,0.34,402
springer,1,Tue,0,Mist + Cloudy,0.2,0,Jan,0,0.47,17
springer,0,Fri,1,Clear + Few clouds,0.12,0,Feb,10,0.42,35
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.54,0,Oct,17,0.94,251
summer,0,Mon,0,Clear + Few clouds,0.64,1,Jun,2,0.69,73
fall,0,Fri,1,Clear + Few clouds,0.76,0,Aug,17,0.62,555
summer,0,Fri,1,Clear + Few clouds,0.82,0,May,13,0.52,197
springer,0,Sun,0,Clear + Few clouds,0.08,0,Jan,18,0.35,54
fall,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.54,0,Sep,2,0.94,2
summer,0,Mon,0,Clear + Few clouds,0.56,1,Apri,15,0.37,603
springer,0,Mon,0,Mist + Cloudy,0.36,1,Mar,3,0.43,26
summer,0,Mon,0,Clear + Few clouds,0.62,1,Jun,12,0.57,615
winter,0,Sun,0,Clear + Few clouds,0.22,0,Dec,22,0.41,95
winter,0,Sat,1,Mist + Cloudy,0.54,1,Oct,20,0.83,311
summer,0,Mon,0,Mist + Cloudy,0.7,0,May,12,0.74,402
fall,0,Sun,0,Mist + Cloudy,0.68,0,Aug,20,0.83,183
winter,0,Tue,1,Mist + Cloudy,0.44,0,Nov,5,0.67,19
winter,0,Sat,1,Mist + Cloudy,0.3,1,Nov,6,0.61,130
springer,0,Fri,1,Mist + Cloudy,0.32,0,Feb,23,0.93,50
fall,0,Wed,1,Clear + Few clouds,0.8,0,July,19,0.59,368
winter,0,Thu,1,Clear + Few clouds,0.22,1,Nov,4,0.69,6
springer,0,Wed,1,Clear + Few clouds,0.2,0,Feb,20,0.47,105
fall,0,Thu,1,Clear + Few clouds,0.68,1,Aug,2,0.65,8
fall,0,Sun,0,Clear + Few clouds,0.76,0,July,7,0.66,42
fall,0,Sun,0,Clear + Few clouds,0.9,1,July,20,0.37,276
springer,0,Sat,1,Clear + Few clouds,0.36,0,Mar,14,0.4,95
winter,0,Sun,0,Mist + Cloudy,0.26,0,Dec,5,0.6,9
springer,0,Thu,1,Mist + Cloudy,0.16,0,Jan,1,0.86,6
winter,0,Thu,1,Clear + Few clouds,0.46,1,Oct,21,0.82,329
summer,0,Mon,0,Clear + Few clouds,0.68,1,Apri,22,0.44,134
springer,0,Fri,1,Mist + Cloudy,0.2,0,Jan,11,0.44,37
winter,0,Sun,0,Clear + Few clouds,0.64,0,Sep,13,0.78,460
winter,0,Fri,1,Clear + Few clouds,0.58,0,Oct,15,0.46,219
springer,0,Wed,1,Clear + Few clouds,0.42,1,Jan,12,0.38,140
springer,1,Tue,0,Clear + Few clouds,0.34,0,Dec,4,0.46,2
summer,0,Thu,1,Mist + Cloudy,0.54,1,Mar,12,0.77,229
summer,0,Fri,1,Clear + Few clouds,0.46,1,Jun,4,0.88,6
springer,0,Tue,1,Mist + Cloudy,0.3,1,Mar,15,0.53,130
fall,0,Mon,0,Clear + Few clouds,0.82,0,July,18,0.43,363
summer,0,Fri,1,Clear + Few clouds,0.48,1,Apri,13,0.36,203
fall,0,Thu,1,Clear + Few clouds,0.78,1,July,13,0.31,312
winter,0,Wed,1,Mist + Cloudy,0.36,0,Dec,6,0.57,72
summer,0,Wed,1,Mist + Cloudy,0.52,1,Jun,10,0.63,176
springer,0,Fri,1,Mist + Cloudy,0.32,0,Feb,11,0.57,79
springer,0,Sun,0,Mist + Cloudy,0.32,0,Feb,12,0.45,160
winter,0,Tue,1,Clear + Few clouds,0.4,0,Oct,20,0.66,172
summer,0,Wed,1,Clear + Few clouds,0.54,1,Apri,21,0.45,243
fall,0,Sat,1,Clear + Few clouds,0.62,1,Sep,23,0.78,195
summer,0,Wed,1,Clear + Few clouds,0.64,0,Apri,9,0.73,199
springer,0,Sun,0,Clear + Few clouds,0.44,0,Feb,2,0.13,17
winter,0,Sun,0,Mist + Cloudy,0.42,0,Nov,18,0.62,185
springer,0,Wed,1,Clear + Few clouds,0.56,1,Mar,23,0.56,87
fall,0,Thu,1,Clear + Few clouds,0.76,0,Jun,19,0.35,401
fall,0,Sat,1,Clear + Few clouds,0.54,1,Sep,6,0.88,152
fall,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.74,0,Aug,16,0.79,343
winter,0,Wed,1,Mist + Cloudy,0.54,0,Nov,14,0.6,147
fall,0,Wed,1,Clear + Few clouds,0.56,0,Aug,2,0.52,6
springer,0,Thu,1,Clear + Few clouds,0.2,0,Jan,14,0.47,44
fall,0,Thu,1,Clear + Few clouds,0.6,1,Jun,1,0.43,23
fall,0,Fri,1,Mist + Cloudy,0.68,1,July,0,0.61,56
winter,1,Tue,0,"Light Snow, Light Rain + Thunderstorm",0.4,1,Oct,22,0.76,107
winter,0,Tue,1,Mist + Cloudy,0.34,1,Dec,7,0.93,396
fall,0,Sun,0,Mist + Cloudy,0.5,0,Sep,21,0.72,170
springer,0,Wed,1,Mist + Cloudy,0.32,1,Jan,8,0.93,490
summer,0,Fri,1,Mist + Cloudy,0.42,1,Apri,4,0.71,4
springer,0,Wed,1,Mist + Cloudy,0.22,0,Jan,17,0.82,125
fall,1,Tue,0,Mist + Cloudy,0.7,0,Sep,0,0.74,97
winter,0,Tue,1,Mist + Cloudy,0.4,0,Oct,17,0.76,495
springer,0,Sat,1,Clear + Few clouds,0.38,1,Feb,12,0.46,198
summer,0,Thu,1,Clear + Few clouds,0.5,0,May,22,0.72,146
summer,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.24,0,Mar,2,0.93,5
summer,0,Sat,1,Clear + Few clouds,0.4,1,Apri,22,0.35,158
springer,0,Thu,1,Clear + Few clouds,0.46,0,Mar,18,0.23,201
springer,0,Sun,0,Clear + Few clouds,0.24,1,Jan,8,0.75,64
fall,0,Wed,1,Clear + Few clouds,0.76,1,Aug,14,0.37,302
fall,0,Thu,1,Clear + Few clouds,0.7,1,Sep,4,0.79,5
winter,0,Mon,0,Clear + Few clouds,0.22,1,Nov,3,0.44,8
fall,0,Sat,1,Clear + Few clouds,0.74,0,July,5,0.79,19
fall,0,Sun,0,Clear + Few clouds,0.7,1,Sep,19,0.58,407
springer,0,Thu,1,Mist + Cloudy,0.24,1,Feb,8,0.7,508
springer,0,Thu,1,Mist + Cloudy,0.44,1,Jan,2,0.51,2
springer,0,Thu,1,Clear + Few clouds,0.36,1,Jan,15,0.46,155
summer,0,Sun,0,Clear + Few clouds,0.68,0,Jun,20,0.74,275
springer,0,Sun,0,Clear + Few clouds,0.22,0,Jan,2,0.64,15
fall,0,Mon,0,Clear + Few clouds,0.66,0,Sep,2,0.83,60
springer,0,Mon,0,Clear + Few clouds,0.3,0,Jan,12,0.52,97
springer,0,Wed,1,Clear + Few clouds,0.44,1,Jan,23,0.38,63
springer,0,Tue,1,Clear + Few clouds,0.24,1,Feb,3,0.75,2
fall,0,Fri,1,Clear + Few clouds,0.8,1,July,22,0.49,234
summer,0,Mon,0,Clear + Few clouds,0.74,0,May,15,0.7,376
winter,0,Thu,1,Mist + Cloudy,0.62,1,Oct,2,0.94,9
winter,0,Mon,0,Clear + Few clouds,0.2,0,Dec,5,0.59,5
fall,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.6,0,Aug,22,0.88,39
winter,0,Thu,1,Clear + Few clouds,0.4,0,Nov,10,0.71,133
winter,0,Sat,1,Clear + Few clouds,0.34,0,Dec,19,0.53,265
springer,0,Thu,1,Clear + Few clouds,0.5,1,Mar,13,0.34,205
fall,0,Wed,1,Clear + Few clouds,0.66,0,Aug,1,0.74,12
springer,0,Tue,1,Mist + Cloudy,0.22,1,Jan,9,0.64,197
fall,0,Mon,0,Mist + Cloudy,0.54,0,Sep,22,0.68,84
fall,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.74,1,Sep,15,0.74,355
summer,0,Wed,1,Mist + Cloudy,0.54,0,Apri,18,0.64,421
springer,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.24,1,Feb,21,0.87,129
fall,0,Sun,0,Mist + Cloudy,0.62,1,Aug,23,0.83,158
fall,0,Fri,1,Clear + Few clouds,0.82,1,July,20,0.49,505
summer,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.48,1,Mar,7,0.94,372
winter,0,Thu,1,Clear + Few clouds,0.32,1,Nov,9,0.76,365
fall,0,Sun,0,Mist + Cloudy,0.64,0,Aug,4,0.73,10
springer,0,Fri,1,Mist + Cloudy,0.62,1,Mar,16,0.41,342
summer,0,Mon,0,Clear + Few clouds,0.52,1,Apri,21,0.48,204
fall,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.7,1,July,17,0.79,458
summer,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.56,1,May,5,0.94,8
fall,0,Sun,0,Mist + Cloudy,0.8,1,Sep,12,0.55,471
summer,0,Sun,0,Clear + Few clouds,0.54,0,Jun,1,0.64,94
summer,0,Fri,1,Clear + Few clouds,0.66,1,Jun,20,0.65,435
winter,0,Sat,1,Clear + Few clouds,0.2,1,Dec,8,0.69,636
winter,0,Wed,1,Clear + Few clouds,0.56,0,Oct,13,0.37,198
summer,0,Sat,1,Mist + Cloudy,0.54,0,May,10,0.49,127
summer,0,Wed,1,Clear + Few clouds,0.58,1,Apri,16,0.21,362
springer,0,Wed,1,Clear + Few clouds,0.24,0,Mar,3,0.52,7
fall,0,Thu,1,Clear + Few clouds,0.8,1,July,14,0.29,247
winter,0,Thu,1,Mist + Cloudy,0.26,1,Nov,9,0.6,368
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.4,0,Dec,17,1.0,52
springer,0,Thu,1,Clear + Few clouds,0.3,1,Feb,8,0.75,576
fall,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.6,1,July,16,0.88,326
winter,0,Sat,1,Clear + Few clouds,0.54,1,Oct,1,0.68,46
springer,0,Sat,1,Clear + Few clouds,0.36,1,Jan,3,0.87,7
springer,0,Tue,1,Clear + Few clouds,0.26,0,Mar,6,0.65,28
winter,0,Thu,1,Clear + Few clouds,0.54,1,Oct,9,0.6,366
fall,0,Thu,1,Clear + Few clouds,0.86,0,July,16,0.25,268
springer,0,Thu,1,Clear + Few clouds,0.28,0,Feb,19,0.45,91
fall,0,Sat,1,Clear + Few clouds,0.78,0,Aug,14,0.55,220
winter,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.52,0,Oct,12,0.88,75
summer,0,Wed,1,Clear + Few clouds,0.34,1,Apri,8,0.57,604
summer,0,Sat,1,Clear + Few clouds,0.32,1,Mar,6,0.57,86
winter,0,Thu,1,Clear + Few clouds,0.7,1,Oct,19,0.65,593
winter,0,Sat,1,Clear + Few clouds,0.42,1,Nov,23,0.38,67
springer,0,Sun,0,Clear + Few clouds,0.28,0,Jan,13,0.38,101
springer,0,Tue,1,Clear + Few clouds,0.62,1,Mar,13,0.61,263
summer,0,Tue,1,Mist + Cloudy,0.42,1,Apri,10,0.41,157
springer,0,Sat,1,Clear + Few clouds,0.52,0,Mar,10,0.53,117
winter,0,Wed,1,Clear + Few clouds,0.2,0,Dec,8,0.69,400
